"cliente","oficina","ingresos","viviendatipo","viviendavalor","estadocivil","lineasdevale","montosdelineas","dependientes","fechanacimiento","default"
"1005210","10","55200","familiar","700000","casado","0","0","3","19850313","0"
"1005256","10","24100","familiar","250000","union_libre","2","175000","4","19820315","0"
"1005274","10","41380","familiar","250000","union_libre","2","334058","1","19820413","0"
"1005281","10","28317","familiar","550000","union_libre","0","0","0","19841216","0"
"1005346","10","40945","propia","600000","union_libre","3","326416","0","19980115","0"
"1005352","10","7000","familiar","900000","casado","2","177974","1","19730503","0"
"1005355","10","58711","familiar","250000","casado","3","200518","3","19850924","1"
"1005356","10","21188","familiar","250000","union_libre","3","207495","2","19830322","0"
"1005362","10","27518","familiar","250000","casado","2","143389","2","19890827","0"
"1005374","10","52633","familiar","250000","union_libre","2","301413","4","19670717","0"
"1005376","10","47240","familiar","2000000","union_libre","2","0","2","19770802","0"
"1005387","10","45719","propia","250000","casado","3","347417","4","19851212","0"
"1005396","10","28152","familiar","250000","union_libre","1","74981","1","19710518","0"
"1005400","10","0","propia","0","casado","0","0","0","19800415","0"
"1005401","10","31860","propia","500000","union_libre","0","18000","1","19890111","0"
"1005415","10","62000","familiar","4500000","union_libre","5","256660","2","19781031","0"
"1005423","10","18136","familiar","250000","union_libre","0","0","2","19811010","0"
"1005451","10","28313","familiar","250000","union_libre","2","156710","1","19950803","1"
"1005459","10","37881","familiar","250000","union_libre","2","37650","3","19921101","0"
"1005461","10","76156","propia","1500000","union_libre","2","114138","2","19721019","0"
"1005466","10","17400","familiar","900000","casado","0","0","1","19950618","0"
"1005509","10","9810","familiar","250000","soltero","2","107457","5","19880422","1"
"1005555","10","25998","familiar","250000","casado","3","237650","3","19771129","0"
"1005588","10","27872","familiar","700000","casado","2","227714","0","19671109","1"
"1005615","10","41654","familiar","250000","soltero","2","95999","3","19910707","0"
"1005629","10","30475","familiar","500000","union_libre","3","127000","2","19750926","0"
"1005638","10","58777","familiar","1000000","casado","3","171026.6","2","19810925","1"
"1005648","10","18666","familiar","250000","union_libre","0","0","0","19701118","1"
"1005677","10","108000","familiar","2800000","casado","0","0","1","19701103","0"
"1005687","10","51149","propia","3000000","casado","5","471850","3","19780619","0"
"1005719","10","25000","familiar","1000000","soltero","0","0","3","19830716","0"
"1005763","10","32855","familiar","2150000","casado","3","273000","0","19681023","0"
"1005780","10","40000","familiar","250000","casado","0","0","1","19660708","0"
"1005816","10","11241","familiar","250000","union_libre","2","0","3","19900226","0"
"1005833","10","33000","familiar","930000","casado","0","0","2","19860804","0"
"1005840","10","56199","familiar","600000","union_libre","1","0","3","19870221","0"
"1005877","10","30230","familiar","800000","casado","0","0","1","19860429","0"
"1005884","10","41728","propia","1000000","soltero","5","458300","0","19641214","0"
"1005888","10","69151","familiar","500000","union_libre","2","189908","3","19831212","0"
"1005924","10","37000","familiar","1500000","union_libre","2","75282","3","19910613","0"
"1005930","10","50000","propia","750000","union_libre","2","23000","3","19841126","0"
"1005946","10","37000","familiar","100000","casado","0","0","2","19970522","0"
"1100007","11","23600","familiar","350000","casado","1","108940","1","19740403","0"
"1100020","11","7600","familiar","250000","union_libre","1","30000","0","19610302","0"
"1100130","11","0","familiar","300000","casado","3","231000","2","19690513","0"
"1100330","11","0","propia","450000","casado","1","112554","3","19670825","0"
"1100902","11","24000","familiar","250000","casado","0","0","1","19760911","0"
"1100981","11","11600","familiar","250000","casado","0","0","3","19720824","0"
"1101503","11","33200","familiar","2000000","soltero","3","176577","2","19820606","0"
"1101600","11","39200","familiar","650000","soltero","5","438017","0","19710120","0"
"1101670","7","23800","familiar","700000","casado","3","252082","2","19830130","0"
"1101771","11","0","Familiar","600000","casado","0","0","2","19820221","0"
"1101897","11","0","familiar","200000","casado","2","40000","1","19720617","0"
"1101934","11","0","familiar","500000","casado","1","69000","1","19740115","0"
"1102018","11","29432","familiar","400000","casado","3","204159.24","0","19580720","0"
"1102314","48","22600","familiar","300000","soltero","3","183901.91","0","19700919","1"
"1102327","11","21800","familiar","250000","casado","2","107571","1","19790924","0"
"1102384","11","15800","familiar","200000","soltero","1","35000","1","19710506","0"
"1102393","11","14020","familiar","300000","union_libre","4","151000","2","19671031","0"
"1102435","11","-100","familiar","200000","union_libre","1","35000","0","19670916","0"
"1102587","11","0","familiar","400000","casado","1","20000","3","19630106","0"
"1102636","11","0","familiar","300000","casado","0","0","0","19711125","0"
"1102688","11","0","familiar","250000","union_libre","2","167000","4","19900618","0"
"1102736","11","43900","propia","700000","casado","3","260300","3","19781021","1"
"1102739","11","6800","familiar","200000","soltero","1","50000","2","19910421","0"
"1102777","11","0","familiar","300000","casado","3","184229","3","19820916","0"
"1102787","11","0","propia","300000","soltero","1","83000","5","19780718","0"
"1102795","11","0","propia","0","soltero","0","0","0","19700830","0"
"1102805","11","0","propia","150000","union_libre","4","183000","4","19791103","0"
"1102807","11","0","propia","200000","soltero","1","11154","1","19760821","1"
"1102808","11","24600","propia","350000","union_libre","2","66000","1","19900820","0"
"1102813","11","23200","propia","950000","union_libre","1","25322","3","19860903","1"
"1102858","11","0","familiar","600000","casado","2","120000","1","19621215","0"
"1102860","11","17100","familiar","250000","soltero","0","0","2","19850107","1"
"1102872","11","0","familiar","200000","casado","1","10900","0","19671101","0"
"1102877","11","11500","familiar","250000","casado","3","204400","4","19881115","0"
"1102899","11","0","familiar","250000","casado","2","90200","0","19600130","0"
"1102915","11","0","familiar","250000","casado","3","227000","2","19870702","0"
"1102932","11","0","familiar","250000","casado","0","0","2","19661103","0"
"1103047","11","9400","familiar","450000","soltero","2","47006","2","19860902","0"
"1103090","11","0","","200000","casado","2","112050","3","19850108","0"
"1103094","11","0","familiar","200000","casado","1","50000","0","19610816","0"
"1103096","11","0","familiar","250000","casado","2","110000","1","19720606","0"
"1103097","11","0","familiar","500000","casado","3","114000","2","19680525","0"
"1103099","11","0","familiar","1000000","union_libre","5","192500","4","19801108","0"
"1103100","11","23000","familiar","250000","casado","0","0","2","19780425","0"
"1103101","11","0","familiar","500000","union_libre","3","83000","3","19820701","0"
"1103115","11","8000","familiar","200000","casado","1","50000","3","19870602","0"
"1103118","11","15900","familiar","300000","soltero","3","121000","0","19870828","0"
"1103119","11","0","familiar","360000","casado","2","44000","2","19730805","0"
"1103135","11","0","familiar","200000","casado","1","60000","1","19740203","0"
"1103138","11","0","familiar","250000","union_libre","2","166800","3","19780228","0"
"1103148","11","97280","familiar","250000","union_libre","2","109042","3","19831008","1"
"1103154","11","0","familiar","300000","soltero","3","145764","1","19560527","0"
"1103155","11","20000","familiar","700000","casado","4","594804","3","19771014","0"
"1103180","11","0","familiar","300000","casado","3","192521","2","19860804","0"
"1103181","11","0","familiar","200000","casado","1","50000","0","19680207","0"
"1103196","11","0","familiar","250000","casado","1","73000","2","19860307","0"
"1103197","11","0","familiar","600000","casado","3","404735","2","19730224","0"
"1103213","11","0","familiar","300000","casado","2","549386","1","19711004","0"
"1103243","11","0","familiar","300000","unión libre","1","113000","2","19541222","0"
"1103259","11","0","","250000","union_libre","2","85000","1","19850618","0"
"1103260","11","0","familiar","300000","casado","1","80400","2","19680831","0"
"1103261","11","0","familiar","250000","casado","2","125000","1","19650213","0"
"1103262","11","0","familiar","300000","soltero","2","308733","2","19850602","0"
"1103314","11","0","familiar","200000","casado","4","561908","2","19841109","0"
"1103315","11","27000","familiar","250000","casado","1","50000","0","19740913","0"
"1103317","11","0","familiar","350000","casado","2","49000","1","19690209","0"
"1103365","11","47100","propia","250000","casado","1","50000","2","19710817","1"
"1103385","11","0","familiar","150000","casado","3","104300","1","19770603","1"
"1103386","11","0","familiar","150000","union_libre","0","0","3","19920823","0"
"1103462","11","25000","familiar","300000","casado","1","56712","2","19900512","0"
"1103463","11","19000","familiar","250000","soltero","3","101000","0","19810621","0"
"1103467","11","0","familiar","0","casado","0","0","0","19900401","0"
"1103468","11","16000","familiar","250000","casado","1","50000","0","19690614","0"
"1103541","11","12500","familiar","250000","union_libre","1","20000","0","19940419","0"
"1103626","11","7000","familiar","250000","soltero","1","15000","1","19950205","0"
"1103627","11","22400","familiar","250000","casado","3","335600","2","19820329","0"
"1103650","11","20500","propia","500000","soltero","3","214000","1","19710621","0"
"1103675","11","19320","familiar","650000","casado","4","156453.6","5","19910925","0"
"1103676","11","5500","familiar","250000","casado","2","63562.5","2","19750515","0"
"1103678","11","12000","familiar","250000","casado","2","75000","0","19660810","1"
"1103694","11","26800","familiar","250000","casado","3","594685","2","19680203","0"
"1103705","11","93920","familiar","400000","soltero","2","31000","1","19851115","0"
"1103718","11","18720","familiar","660000","casado","4","138000","1","19660823","0"
"1103719","11","20380","familiar","600000","casado","4","182000","3","19790530","0"
"1103745","7","16220","familiar","350000","casado","3","116000","3","19780120","0"
"1103746","11","28840","familiar","600000","casado","3","97781","4","19790628","0"
"1103780","11","9400","familiar","500000","union_libre","2","145260","2","19910820","0"
"1103786","11","6800","familiar","350000","casado","2","38500","0","19670105","0"
"1103787","11","6248","propia","400000","casado","1","20000","2","19820103","0"
"1103789","11","46800","familiar","250000","casado","4","373448","4","19721022","0"
"1103865","11","22000","familiar","250000","casado","3","245000","1","19800305","0"
"1103870","11","11260","familiar","400000","casado","4","149000","2","19691202","0"
"1103928","11","14600","familiar","250000","casado","2","283049","2","19630320","0"
"1103980","11","20300","familiar","250000","casado","3","206189","2","19830308","0"
"1103986","11","17280","familiar","250000","casado","4","492127","0","19621128","0"
"1103998","11","42600","familiar","250000","casado","3","458028","2","19691221","0"
"1103999","11","16600","familiar","250000","casado","5","723729.4","1","19590224","0"
"1104079","11","13600","familiar","250000","casado","1","50000","2","19870615","0"
"1104080","11","10800","familiar","200000","union_libre","4","130550","2","19841018","0"
"1104138","11","12000","familiar","300000","soltero","3","110000","0","19700103","0"
"1104231","11","14500","familiar","250000","casado","3","304757","0","19550902","0"
"1104241","11","38800","familiar","250000","soltero","3","141885","0","19540513","0"
"1104356","11","39800","familiar","250000","union_libre","3","105000","2","19820830","0"
"1104362","11","15040","familiar","250000","soltero","3","336941","2","19810526","0"
"1104387","11","29000","familiar","250000","casado","3","159988","3","19620724","0"
"1104388","11","74466","familiar","400000","casado","3","160257","0","19580901","0"
"1104398","11","23233","familiar","350000","union_libre","3","142428","1","19680519","0"
"1104421","11","21600","familiar","500000","casado","2","113000","3","19800320","0"
"1104583","11","32676","propia","700000","casado","2","66579.68","1","19731213","1"
"1104584","11","21300","familiar","250000","casado","2","125021.32","2","19690906","0"
"1104630","11","14400","familiar","700000","casado","2","78671","1","19751124","0"
"1104631","11","20800","familiar","250000","casado","4","376625","1","19840514","0"
"1104633","11","83000","propia","500000","union_libre","4","399563","3","19841124","0"
"1104644","11","24000","familiar","250000","union_libre","0","0","0","19730122","1"
"1104657","11","10650","propia","400000","soltero","2","129340","3","19840928","1"
"1104689","11","16600","familiar","120000","soltero","3","318368","3","19720525","0"
"1104690","11","28000","familiar","250000","casado","5","1712738","1","19730721","0"
"1104751","11","18200","familiar","250000","casado","2","42354","2","19850713","0"
"1104802","11","42000","familiar","250000","casado","1","95000","3","19930702","1"
"1104821","11","24400","familiar","475000","casado","2","70000","4","19890822","1"
"1104857","11","25600","familiar","250000","casado","3","293855","0","19661120","0"
"1104858","11","40000","familiar","250000","casado","3","128789","4","19700817","0"
"1104881","11","26200","propia","250000","union_libre","3","228817","0","19730205","0"
"1104888","11","38200","familiar","700000","casado","0","0","2","19820121","0"
"1104889","11","63200","propia","800000","union_libre","2","110000","3","19821124","0"
"1104908","11","76200","familiar","250000","casado","3","379171","1","19901211","0"
"1104918","11","22600","familiar","250000","casado","2","98415","2","19860301","0"
"1104919","11","11700","familiar","250000","casado","1","60047","2","19890930","0"
"1104940","11","26800","familiar","250000","union_libre","1","30000","1","19900910","0"
"1104994","11","22300","familiar","250000","casado","1","27625","3","19830221","0"
"1104995","11","14220","propia","400000","union_libre","1","30000","1","19961026","1"
"1104996","11","37800","propia","600000","union_libre","3","167751","1","19740530","0"
"1105095","11","38000","propia","220000","soltero","2","416917","0","19730906","0"
"1105117","11","11088","familiar","250000","union_libre","1","112333","2","19920606","0"
"1105119","11","22047","familiar","250000","casado","2","150488","0","19601228","0"
"1105131","11","23100","Familiar","250000","casado","4","148117","5","19790323","1"
"1105203","11","4600","familiar","250000","soltero","3","214016.55","1","19720820","0"
"1105212","11","26300","propia","500000","soltero","3","240789.88","2","19900426","0"
"1105215","11","27000","familiar","150000","casado","0","0","1","19730205","1"
"1105244","11","49200","familiar","250000","union_libre","3","65000","2","19921114","1"
"1105247","11","12540","propia","250000","soltero","4","223000","2","19750625","0"
"1105274","11","11920","familiar","350000","casado","2","76731.86","1","19661222","0"
"1105276","11","19600","familiar","250000","casado","3","120429.68","2","19571228","0"
"1105295","11","51800","familiar","280000","soltero","0","0","1","19731206","0"
"1105322","11","15200","familiar","250000","casado","0","0","2","19850909","0"
"1105430","11","16840","familiar","250000","soltero","2","151885","4","19860826","1"
"1105512","11","19300","familiar","712000","union_libre","2","107444","0","19800507","1"
"1300535","13","0","familiar","0","casado","0","0","0","19750102","0"
"1300545","13","12000","familiar","350000","casado","0","0","1","19690630","1"
"1300575","13","22000","familiar","500000","soltero","0","0","1","19730729","0"
"1300584","13","14000","familiar","400000","casado","0","0","0","19680527","1"
"1300610","13","10300","familiar","700000","casado","2","72100","0","19640628","0"
"1300616","13","8400","familiar","200000","casado","0","0","3","19710815","0"
"1300832","13","10000","propia","780000","casado","0","0","2","19660814","0"
"1300957","13","0","familiar","300000","casado","0","0","1","19530506","0"
"1300974","13","0","propia","340000","casado","0","0","2","19700511","0"
"1300997","13","11200","familiar","250000","union_libre","0","0","2","19881204","0"
"1301067","13","5000","familiar","200000","soltero","0","0","1","19620613","0"
"1301114","13","20500","propia","400000","casado","2","46874","3","19861119","0"
"1301356","13","15100","propia","200000","casado","0","0","4","19771108","0"
"1301454","13","0","familiar","0","casado","0","0","0","19611223","0"
"1301536","13","0","familiar","300000","casado","0","0","1","19681215","0"
"1301748","13","20400","familiar","250000","casado","0","0","1","19720610","0"
"1301881","13","10200","familiar","200000","union_libre","1","20000","1","19800507","0"
"1301995","13","12200","familiar","250000","casado","0","0","3","19680307","0"
"1302002","13","0","familiar","250000","casado","0","0","3","19830212","0"
"1302010","13","16000","familiar","250000","casado","0","0","1","19661223","0"
"1302082","13","10000","familiar","250000","soltero","0","0","3","19850628","0"
"1302203","13","14200","familiar","350000","casado","0","0","3","19890723","1"
"1302245","13","0","propia","580000","union_libre","0","0","1","19861118","0"
"1302267","13","13000","familiar","250000","casado","0","0","1","19861024","0"
"1302284","13","30000","familiar","250000","soltero","0","0","0","19781203","0"
"1302496","13","27000","familiar","250000","casado","0","0","1","19770603","1"
"1302548","13","12000","familiar","250000","soltero","0","0","2","19660531","0"
"1302625","13","11100","familiar","150000","casado","0","0","2","19751012","0"
"1302724","13","6000","propia","1200000","soltero","0","0","2","19770110","0"
"1302728","13","8308","propia","250000","union_libre","0","0","1","19711001","0"
"1302732","13","11300","familiar","600000","union_libre","0","0","2","19710824","0"
"1302804","13","12000","familiar","600000","soltero","0","0","1","19760331","0"
"1302810","13","0","familiar","250000","casado","0","0","3","19840627","0"
"1302832","13","28000","propia","400000","union_libre","0","0","4","19831018","0"
"1302836","13","0","familiar","0","casado","0","0","0","19941210","0"
"1302848","13","21700","familiar","250000","casado","0","0","2","19850218","0"
"1303064","13","17140","familiar","350000","casado","0","0","0","19681225","0"
"1303070","13","14000","familiar","300000","casado","0","0","0","19710905","0"
"1303122","13","15000","familiar","200000","soltero","0","0","2","19931214","1"
"1303145","13","22500","familiar","950000","union_libre","0","0","0","19591108","0"
"1303148","13","0","familiar","0","union_libre","0","0","0","19710225","1"
"1303167","13","10000","familiar","200000","soltero","0","0","3","19750527","0"
"1303171","13","31800","familiar","250000","soltero","0","0","2","19931022","0"
"1303213","13","28000","familiar","250000","union_libre","0","0","1","19880718","1"
"1303237","13","13900","propia","400000","soltero","0","0","3","19861006","1"
"1303241","13","8000","familiar","200000","casado","0","0","3","19700309","0"
"1303262","13","29000","familiar","250000","soltero","0","0","1","19890720","0"
"1303268","13","0","familiar","1050000","casado","0","0","2","19730725","1"
"1303269","13","8000","familiar","200000","unión libre","0","0","3","19820208","0"
"1303298","13","0","propia","250000","union_libre","0","0","2","19640409","0"
"1303319","13","12000","familiar","250000","union_libre","0","0","1","19920220","0"
"1303321","13","19180","propia","300000","union_libre","0","0","1","19781001","0"
"1303324","13","17320","familiar","200000","casado","0","0","3","19821005","0"
"1303344","13","0","familiar","250000","union_libre","0","0","3","19830723","0"
"1303348","13","7000","familiar","200000","soltero","0","0","1","19631126","0"
"1303362","13","0","familiar","250000","union_libre","0","0","0","19631202","0"
"1303366","13","12400","familiar","300000","union_libre","0","0","3","19590721","0"
"1303378","13","15000","familiar","250000","casado","0","0","1","19840518","1"
"1303383","13","0","familiar","350000","union_libre","0","0","0","19801214","0"
"1303386","13","0","familiar","850000","casado","0","0","0","19560531","0"
"1303399","13","0","familiar","0","casado","0","0","0","19791218","0"
"1303400","13","0","familiar","250000","casado","0","0","2","19880316","0"
"1303404","13","0","familiar","250000","soltero","0","0","2","19860524","0"
"1303406","13","12300","familiar","600000","casado","0","0","2","19781107","1"
"1303465","13","0","familiar","250000","casado","0","0","1","19690909","1"
"1303466","13","0","familiar","0","casado","0","0","0","19751012","0"
"1303467","13","11500","propia","200000","union_libre","0","0","1","19731202","0"
"1303468","13","0","familiar","0","casado","0","0","0","19621230","0"
"1303469","13","20800","familiar","200000","union_libre","0","0","1","19710121","0"
"1303525","13","15605","propia","450000","soltero","0","0","3","19831211","0"
"1303554","13","3138","familiar","250000","casado","0","0","3","19690627","0"
"1303584","13","26350","familiar","250000","casado","2","149808","1","19901024","1"
"1303590","13","0","familiar","0","soltero","0","0","0","19810114","1"
"1303626","13","8000","familiar","250000","casado","0","0","2","19660524","0"
"1303655","13","0","familiar","250000","casado","0","0","0","19710417","0"
"1303673","13","53500","familiar","200000","casado","0","0","0","19581222","0"
"1303677","13","12000","familiar","250000","unión libre","0","0","4","19791025","0"
